"name","category","BulkyDay","SampleAddress"
"145 Association",,"","21 Spurs Ln # 130, San Antonio, TX 78240, USA"
"Oak Grove Estates","normies","","10811 Perrin Beitel Rd, San Antonio, TX 78217, USA"
"Oak Creek","tourists","","10819 West Military Road, San Antonio, TX 78251, USA"
"Northern Hills Country Village",,"","4319 Thousand Oaks Dr, San Antonio, TX 78217, USA"
"North Castle Hills","rich","","11843 Braesview # A, San Antonio, TX 78213, USA"
"Mission Trace/ Vance Jackson","rich","","11146 Vance Jackson Rd, San Antonio, TX 78230, USA"
"MacArthur Park","rich","","1777 NE Interstate 410 Loop Suite 600, San Antonio, TX 78217, USA"
"Loma Park","normies","","210 Alicia Ave, San Antonio, TX 78228, USA"
"Lockhill Estates","rich","","1802 Larkspur Dr, San Antonio, TX 78213, USA"
"Village North One","rich","","2635 NE Interstate 410 Loop, San Antonio, TX 78217, USA"
"Lackland Terrace","normies","","2315 Hackamore Ln, San Antonio, TX 78227, USA"
"Ingram Hills","normies","","3611 Fred Ross Ln, San Antonio, TX 78228, USA"
"Oakdell Council of Co-Owners",,"","7500 Louis Pasteur Dr, San Antonio, TX 78229, USA"
"Vista","normies","","5500 N Loop 1604 E, San Antonio, TX 78247, USA"
"Hunters Brook",,"","7314 Beartrap Ln, San Antonio, TX 78249, USA"
"Hills of Park North","rich","","4618 Thousand Oaks Dr, San Antonio, TX 78233, USA"
"Walker Ranch","normies","","14402 Blanco Rd Suite 102, San Antonio, TX 78216, USA"
"Great Northwest","normies","","6126 Ridgebrook St, San Antonio, TX 78250, USA"
"Government Hill Alliance","hipsters","","2131 N PanAm Expy, San Antonio, TX 78208, USA"
"Comanche Community","normies","","5365 New Sulphur Springs Rd, San Antonio, TX 78222, USA"
"French Creek Village","normies","","8910 Bandera Rd Ste 205, San Antonio, TX 78250, USA"
"Five Points","hipsters","","606 W Cypress St, San Antonio, TX 78212, USA"
"Winchester Hills","rich","","2575 Marshall Rd, San Antonio, TX 78259, USA"
"Enchanted Village/ Greater Harmony Hills","normies","","300 Breesport St, San Antonio, TX 78216, USA"
"Wildwood West",,"","8425 Bandera Rd #136, San Antonio, TX 78250, USA"
"Citizens on Alert","rich","","12134 El Sendero St, San Antonio, TX 78233, USA"
"United Homeowners","normies","","3700 Belgium Ln, San Antonio, TX 78219, USA"
"Valley Forest/ People Active in Community Effort","hipsters","","5570 Cool Valley Dr, San Antonio, TX 78242, USA"
"Park Forest","normies","","12951 Huebner Rd Suite 780006, San Antonio, TX 78230, USA"
"Tanglewood","uni","","6135 Willowridge St, San Antonio, TX 78249, USA"
"Arboretum","normies","","1516 Caper Ln, San Antonio, TX 78232, USA"
"Spyglass Hill Condominium",,"","4502 Medical Drive, Horizon Tower, 6th Floor, San Antonio, TX 78229, USA"
"Bel Meade Homes Association","hipsters","","1050 Harry Wurzbach Rd, San Antonio, TX 78209, USA"
"Range Rider",,"","3306 Carnaby Creek Dr, San Antonio, TX 78247, USA"
"Randolph Hills","normies","","6599 Kings Crown E, San Antonio, TX 78233, USA"
"Babcock North Resident Association","normies","","6722 Spring Hollow St, San Antonio, TX 78249, USA"
"Deerfield","rich","","15655 Dove Meadow St, San Antonio, TX 78248, USA"
"Tobin Hill","hipsters","","339 W Josephine St, San Antonio, TX 78212, USA"
"Property Owners of Apple Creek","suits","","7115 George Burns St, San Antonio, TX 78240, USA"
"Thompson Community","normies","","1922 S General McMullen Dr, San Antonio, TX 78226, USA"
"Timber Ridge","normies","","8231 Meadow Sun St, San Antonio, TX 78251, USA"
"Wilderness Pointe",,"*NO SERVICE","503 Morgan Pointe, San Antonio, TX 78260, USA"
"Emerald Forest","rich","*NO SERVICE","3410 Saddle Point, San Antonio, TX 78259, USA"
"The Champions Estates/ Stone Oak","rich","*NO SERVICE","1 Champions Run, San Antonio, TX 78258, USA"
"Encino Rio HOA","rich","*NO SERVICE","21310 Rio Sabinal, San Antonio, TX 78259, EE. UU."
"Estates - Mission Hills","normies","*NO SERVICE","6230 Inverrary Dr, San Antonio, TX 78244, USA"
"Summerglen","rich","*NO SERVICE","1808 Winding View, San Antonio, TX 78260, USA"
"Fairways of Woodlake","normies","*NO SERVICE","6458 Firestone Pkwy, San Antonio, TX 78244, USA"
"The Dominion","rich","*NO SERVICE","2 Darby Glen, San Antonio, TX 78257, USA"
"Forest at Stone Oak","rich","*NO SERVICE","22814 Citron Cir, San Antonio, TX 78260, USA"
"Stone Valley",,"*NO SERVICE","20118 Standish Rd, San Antonio, TX 78258, USA"
"Stone Oak Parke",,"*NO SERVICE","19919 Horizon Way, San Antonio, TX 78258, USA"
"Steeplebrook",,"*NO SERVICE","W I-10, San Antonio, TX 78230, USA"
"Sonterra/ Stone Oak","rich","*NO SERVICE","1346 Twilight Ridge, San Antonio, TX 78258, USA"
"Trophy Ridge","normies","*NO SERVICE","10810 Axis Crossing, San Antonio, TX 78245, USA"
"Sonterra Villas Townhome Condominium/ Sonterra/ Stone Oak",,"*NO SERVICE","225 E Sonterra Blvd Suite 220, San Antonio, TX 78258, USA"
"Downtown","hipsters","*NO SERVICE","123 Losoya St, San Antonio, TX 78205, USA"
"Sonoma Ranch","rich","*NO SERVICE","170 Ruidosa Downs, Helotes, TX 78023, USA"
"The Springs at Stone Oak/ Stone Oak",,"*NO SERVICE","1002 Crystal Spring, San Antonio, TX 78258, USA"
"Roseheart","normies","*NO SERVICE","23 Earl Grey, San Antonio, TX 78259, USA"
"Regency Park",,"*NO SERVICE","16530 Huebner Rd #301, San Antonio, TX 78248, USA"
"Property Owners of Northhampton","normies","*NO SERVICE","7902 Swindow Cir, Converse, TX 78109, USA"
"Meadowbrook","normies","*NO SERVICE","6531 Beech Trail Dr, Converse, TX 78109, USA"
"Ventura","normies","*NO SERVICE","7210 Grassy Trail, San Antonio, TX 78244, USA"
"Stanton Run",,"*NO SERVICE","11505 W Loop 1604 N, San Antonio, TX 78250, USA"
"Village at Big Country",,"*NO SERVICE","2850 W Loop 1604 S, San Antonio, TX 78245, USA"
"Villages of Westcreek","normies","*NO SERVICE","12110 Gwendolen Dr, San Antonio, TX 78253, USA"
"Big Country",,"*NO SERVICE","11447 Persimmon Gap, San Antonio, TX 78245, USA"
"Candlewood Park","normies","*NO SERVICE","3635 Candleglenn, San Antonio, TX 78244, USA"
